company_code,founder
C93,Jesse
C46,Lori
C98,Christine
C9,Joe
C63,Dorothy
C49,John
C44,Lawrence
C76,Marilyn
C35,Donna
C26,Paul
C100,Aaron
C45,Marilyn
C30,Ralph
C65,Phillip
C70,Brandon
C58,Paul
C99,Lillian
C42,Elizabeth
C78,Nancy
C33,David
C15,Joe
C68,David
C13,Pamela
C69,Willie
C22,Harry
C34,Joyce
C85,Anna
C43,Joseph
C29,Robin
C17,Melissa
C24,Julia
C3,Patrick
C83,Alan
C86,James
C2,Frank
C54,Paula
C23,David
C77,Norma
C64,Evelyn
C18,Carol
C89,Andrew
C90,Roy
C12,Amy
C80,Keith
C81,Benjamin
C55,Kimberly
C72,Emily
C57,Martin
C75,Dorothy
C20,Marilyn
C16,Linda
C32,Victor
C36,Michelle
C62,John
C6,Bonnie
C96,Gregory
C95,Patricia
C61,Diana
C71,Ann
C19,Paula
C21,Jennifer
C8,Todd
C59,Antonio
C4,Lisa
C41,Brandon
C73,Dorothy
C92,Christina
C27,James
C79,Andrew
C14,Maria
C1,Angela
C84,Tammy
C7,Michael
C40,Christina
C66,Evelyn
C48,Jesse
C5,Kimberly
C11,Robert
C39,Walter
C60,Jacqueline
C51,Timothy
C74,Jonathan
C10,Earl
C87,Robin
C82,Charles
C28,Kelly
C25,Kevin
C97,Brian
C56,Louise
C91,Diana
C88,Jean
C38,Gerald
C53,Anthony
C52,Christine
C37,Stephanie
C67,Debra
C50,Martha
C31,Gloria
C47,Matthew
C94,Joyce
