employee_code,manager_code,senior_manager_code,lead_manager_code,company_code
E85,M36,SM19,LM14,C14
E560,M277,SM141,LM98,C98
E274,M131,SM63,LM44,C44
E277,M133,SM64,LM45,C45
E145,M68,SM35,LM27,C27
E68,M29,SM17,LM13,C13
E558,M277,SM141,LM98,C98
E536,M265,SM135,LM93,C93
E381,M187,SM93,LM65,C65
E531,M262,SM133,LM91,C91
E371,M181,SM90,LM63,C63
E40,M16,SM11,LM8,C8
E494,M241,SM121,LM83,C83
E146,M68,SM35,LM27,C27
E422,M206,SM103,LM71,C71
E564,M279,SM142,LM99,C99
E275,M132,SM63,LM44,C44
E516,M252,SM127,LM87,C87
E474,M230,SM115,LM78,C78
E150,M70,SM36,LM28,C28
E316,M151,SM73,LM51,C51
E343,M166,SM82,LM58,C58
E77,M32,SM18,LM13,C13
E124,M59,SM30,LM22,C22
E549,M270,SM137,LM94,C94
E482,M234,SM118,LM81,C81
E32,M13,SM9,LM6,C6
E415,M202,SM101,LM70,C70
E183,M85,SM44,LM33,C33
E110,M51,SM27,LM19,C19
E43,M17,SM12,LM9,C9
E419,M204,SM102,LM71,C71
E25,M10,SM7,LM5,C5
E273,M130,SM63,LM44,C44
E264,M124,SM59,LM42,C42
E256,M120,SM58,LM41,C41
E577,M284,SM144,LM100,C100
E383,M187,SM93,LM65,C65
E252,M119,SM57,LM41,C41
E59,M25,SM15,LM12,C12
E230,M108,SM52,LM37,C37
E510,M248,SM125,LM86,C86
E189,M88,SM45,LM33,C33
E380,M186,SM93,LM65,C65
E45,M18,SM12,LM9,C9
E340,M164,SM81,LM57,C57
E366,M177,SM88,LM62,C62
E301,M145,SM70,LM49,C49
E28,M11,SM8,LM5,C5
E512,M250,SM126,LM87,C87
E458,M222,SM111,LM76,C76
E164,M77,SM39,LM29,C29
E117,M57,SM29,LM21,C21
E225,M106,SM51,LM36,C36
E2,M1,SM1,LM1,C1
E302,M145,SM70,LM49,C49
E7,M3,SM1,LM1,C1
E463,M224,SM112,LM77,C77
E423,M206,SM103,LM71,C71
E420,M205,SM103,LM71,C71
E136,M64,SM32,LM24,C24
E288,M137,SM67,LM47,C47
E258,M122,SM59,LM42,C42
E172,M80,SM41,LM31,C31
E196,M91,SM46,LM34,C34
E119,M57,SM29,LM21,C21
E229,M108,SM52,LM37,C37
E89,M39,SM21,LM16,C16
E97,M43,SM23,LM17,C17
E176,M82,SM43,LM32,C32
E507,M247,SM125,LM86,C86
E227,M107,SM52,LM37,C37
E109,M50,SM26,LM19,C19
E534,M263,SM134,LM92,C92
E480,M234,SM118,LM81,C81
E430,M209,SM105,LM72,C72
E346,M168,SM83,LM58,C58
E332,M161,SM79,LM55,C55
E339,M164,SM81,LM57,C57
E86,M37,SM20,LM15,C15
E530,M261,SM132,LM91,C91
E251,M119,SM57,LM41,C41
E385,M188,SM94,LM66,C66
E300,M145,SM70,LM49,C49
E278,M133,SM64,LM45,C45
E46,M18,SM12,LM9,C9
E444,M216,SM109,LM75,C75
E139,M66,SM33,LM25,C25
E479,M233,SM117,LM80,C80
E37,M14,SM9,LM6,C6
E235,M111,SM54,LM38,C38
E456,M221,SM111,LM76,C76
E543,M268,SM136,LM94,C94
E498,M242,SM122,LM84,C84
E249,M117,SM56,LM40,C40
E442,M215,SM108,LM74,C74
E141,M66,SM33,LM25,C25
E16,M6,SM3,LM2,C2
E342,M166,SM82,LM58,C58
E92,M41,SM21,LM16,C16
E121,M58,SM29,LM21,C21
E184,M85,SM44,LM33,C33
E461,M223,SM112,LM77,C77
E360,M175,SM87,LM62,C62
E432,M209,SM105,LM72,C72
E208,M98,SM48,LM35,C35
