id,city,state,lat_n,long_w
1,Amityville,NY,40.34624316,-71.35058078
2,Akron,CA,31.60070364,-82.05337986
3,Bakersfield,TX,42.67530914,-106.54177232
4,Cody,FL,46.41230962,-74.69469696
5,Denton,WA,35.12612367,-71.60904985
6,Eugene,OR,30.2473114,-97.28918556
7,Flagstaff,AZ,25.63686327,-80.73723314
8,Golden,CO,40.59722651,-99.42683995
9,Herrin,IL,30.29057493,-101.82034693
10,Ipswich,MA,44.42633096,-70.35093302
11,Juneau,OH,44.33966204,-107.69952733
12,Kalamazoo,GA,33.1660124,-78.39589299
13,Lodi,NC,47.97311373,-88.17610544
14,Modesto,VA,27.22590024,-75.22268435
15,Naperville,PA,45.33986479,-102.60120569
